_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66252823a45a2d537138c0cd,,34.38,91.67,34.38,29.7,43;0;0;0,time,15,-1,0,15.01,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711139000
662527d3a45a2d537138bd6c,,51.19,95.59,51.19,63.22,64;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711059000
662527c2a45a2d537138bcae,,48.8,93.94,48.8,57.07,61;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711042000
662527b0a45a2d537138bbfc,,57.59,97.37,59.99,60.9,72;1;0;0,time,15,-1,0,15,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713711024000
66252787a45a2d537138ba52,,25.59,90.48,31.19,47.66,32;0;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713710983000
66252774a45a2d537138b997,,16,85.71,16,8.21,20;0;0;0,time,15,-1,0,15,2,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713710964000
6620177fa45a2d53710a8995,,53.6,98.53,53.6,62.35,67;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379199000
6620176ea45a2d53710a888a,,59.19,98.67,59.19,63.5,74;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379182000
6620175da45a2d53710a8773,,50.4,100,50.4,66.11,63;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379165000
6620174ca45a2d53710a8665,,55.97,97.22,55.97,60.35,70;0;0;0,time,15,-1,2,15.01,0,23.17,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379148000
6620171da45a2d53710a83a8,,46.39,96.72,46.39,67.06,58;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379101000
6620170ca45a2d53710a829e,,46.39,92.19,46.39,56.85,58;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379084000
662016fba45a2d53710a8194,,61.6,98.72,61.6,64.76,77;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379067000
662016e9a45a2d53710a8073,,49.59,96.88,49.59,65.28,62;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379049000
662016c0a45a2d53710a7e20,,47.95,100,47.95,47.7,60;0;0;0,time,15,-1,1,15.02,0,10.96,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713379008000
6620169ba45a2d53710a7c0a,,24.8,91.67,24.8,30.06,31;0;0;0,time,15,-1,0,15,3,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378971000
66201680a45a2d53710a7a6f,,47.19,98.33,47.19,53.52,59;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378944000
6620166da45a2d53710a795b,,56.76,97.33,56.76,67.35,71;0;0;0,time,15,-1,1,15.01,0,18.57,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378925000
